#{"t_start": 1787654605.5587204, "env_id": "None"}
r,l,t
-13.387657,125,1.238675
-35.21248,141,1.320742
-13.042704,63,1.360614
-1.201535,200,1.489032
-14.779748,133,1.57443
-11.767403,66,1.62064
-15.607439,114,1.694903
-14.14092,187,2.255528
-2.379405,200,2.376334
-36.147468,110,2.440797
-29.837071,147,2.536905
-3.2175,200,2.668987
-35.989465,122,2.741791
-105.298403,85,2.791993
0.579833,200,3.306952
-109.285455,93,3.361505
18.407239,164,3.455068
-25.00054,200,3.568187
-41.708991,89,3.619336
-10.742964,200,3.732184
-21.73286,164,3.826387
-76.279295,136,4.299631
-10.865826,51,4.329281
-3.089521,200,4.439684
-16.128733,199,4.551047
-2.964297,200,4.663428
-30.643164,42,4.687341
0.572103,200,4.807272
-57.975052,200,5.310452
-38.805552,60,5.346512
-11.570276,92,5.400471
-13.167436,93,5.455957
-66.412565,64,5.495495
-10.701435,42,5.520568
-3.6438,200,5.64064
-13.2113,200,5.762647
-1.392575,200,6.271919
-5.393326,200,6.386529
-14.120268,79,6.433504
0.281521,200,6.548434
-0.190463,200,6.662879
-14.14316,50,6.691493
-13.894456,185,6.799719
-12.716921,184,7.297782
-11.789863,69,7.33697
-14.628481,83,7.382649
-3.777777,200,7.493031
-19.964908,141,7.572504
-44.56146,128,7.647237
-1.998719,200,7.760188
-3.378294,200,8.258546
-10.959721,39,8.280521
-16.282313,140,8.363828
-11.894951,76,8.411262
-12.337821,70,8.451287
-13.88492,115,8.514588
-16.24987,192,8.622514
-32.984708,96,8.678843
-12.625352,107,8.741277
-14.049968,87,9.177559
-11.268321,37,9.198152
-131.894141,200,9.314418
-20.834779,200,9.430953
-2.551551,200,9.544418
-20.875147,132,9.620968
-1.453195,200,9.733197
-13.121463,183,10.247394
-15.047945,84,10.300316
-14.596503,122,10.375783
-55.516232,187,10.487443
-11.937048,80,10.534821
-15.608803,131,10.612834
-25.807698,75,10.660033
-134.725996,200,11.168634
-2.100656,200,11.288995
-16.544752,93,11.341964
-2.978359,200,11.459056
-4.57643,200,11.579815
-11.166046,110,11.645439
-13.652267,126,11.719617
-12.33313,184,12.22873
-1.63491,200,12.355542
-13.724738,165,12.454261
-21.245683,200,12.570775
-63.282093,200,12.694573
-4.948538,200,13.207665
-1.016106,200,13.32925
-3.373352,200,13.454794
-1.299223,200,13.571708
-14.542416,65,13.609905
-37.375382,15,13.619603
-3.231561,200,13.73617
-15.456338,200,14.23907
0.067012,200,14.351269
-13.795153,74,14.396779
-27.286536,200,14.511842
-3.225151,200,14.626029
-16.534057,36,14.647074
-1.18941,200,14.762688
-12.507004,182,15.250243
-3.661268,200,15.36589
-3.511794,200,15.495421
-13.893378,185,15.603674
-42.452783,100,15.660339
-3.896206,200,16.209646
-3.564413,200,16.362511
-2.352626,200,16.493196
-12.682914,196,16.643295
-2.475918,200,16.818927
-10.488794,141,16.914435
-5.423017,200,17.437345
-2.634042,200,17.556598
-2.313823,200,17.678014
-13.302393,60,17.713541
-1.705873,200,17.833539
-11.861479,48,17.861778
-4.470229,200,18.356088
-38.122056,200,18.471688
-0.014009,200,18.582052
-6.110227,200,18.69376
-24.474645,200,18.807676
-0.399332,200,19.318295
-2.004265,200,19.462585
-4.877671,200,19.629306
-13.424068,193,19.780562
-3.51405,200,19.923975
-12.771724,200,20.068198
-1.187803,200,20.626931
-1.842891,200,20.746183
-11.241095,39,20.770877
-0.931532,200,20.88902
-3.612342,200,21.010256
-4.32288,200,21.138131
-3.365247,200,21.64031
1.766101,200,21.769833
0.23335,200,21.889698
-0.659877,200,22.021169
-0.995398,200,22.146317
-3.528831,200,22.703127
-4.081657,200,22.83782
-6.423075,151,22.940927
-12.432078,62,22.978813
0.605509,200,23.100146
-2.307341,200,23.217853
-10.708595,128,23.707716
-3.349082,200,23.842797
-3.442723,200,23.961773
-3.022381,200,24.086624
-1.620855,200,24.204782
-1.31295,200,24.705472
-4.198788,200,24.822664
0.099803,200,24.938119
-17.802214,200,25.06307
-3.09697,200,25.188733
-2.657733,200,25.757974
0.323076,200,25.927847
-1.893343,200,26.038383
-1.268132,200,26.155772
-3.036486,200,26.268764
-4.000895,200,26.783957
2.383835,200,26.908144
-2.481851,200,27.05424
-2.708685,200,27.18756
-15.558213,200,27.323443
0.599848,200,27.45573
-0.000869,200,28.016546
-1.373939,200,28.142821
-2.656272,200,28.287796
-1.559403,200,28.416142
-1.616592,200,28.550456
-1.447197,200,29.088541
0.099796,200,29.214825
-1.015161,200,29.334801
-3.00965,200,29.45727
-2.008062,200,29.576012
-0.818935,200,30.093553
-3.288936,200,30.215456
-11.553309,200,30.332005
0.140932,200,30.451779
-1.443245,200,30.573792
-14.17606,200,31.083572
-1.175117,200,31.204237
-0.822135,200,31.322405
0.159108,200,31.439149
-1.740721,200,31.559278
-25.724861,80,31.609468
-8.281912,200,32.124898
-2.907047,200,32.248076
-24.353428,80,32.297278
-0.494315,200,32.416181
-0.702684,200,32.538976
-1.302473,200,33.061231
-0.755511,200,33.198485
-17.114035,1,33.199434
-8.879921,95,33.261606
-2.111876,200,33.386727
-1.12458,200,33.523449
1.267961,200,33.657012
-2.424468,200,34.211342
-1.591308,200,34.351109
-0.376573,200,34.481684
-0.716084,200,34.603482
-1.328299,200,34.731735
-0.485713,200,35.280728
-2.71767,200,35.409671
-3.171602,200,35.539028
-1.896623,200,35.679269
-1.227003,200,35.813733
-0.328002,200,36.418783
0.471254,200,36.575766
19.707435,159,36.694626
-1.305723,200,36.815807
-0.460929,200,36.940005
-0.366356,200,37.082982
-55.160757,200,37.608175
-0.236795,200,37.727709
-2.31979,200,37.843591
-0.01106,200,37.960631
-2.104185,200,38.081716
-2.606054,200,38.59588
-19.53789,46,38.62705
1.970118,200,38.758739
-0.974358,200,38.895073
-0.240662,200,39.025886
-0.643834,200,39.147508
-1.952659,200,39.678126
1.627737,200,39.801744
-8.031718,160,39.899553
0.974152,200,40.022304
-1.982404,200,40.14308
-1.439236,200,40.671104
-0.618098,200,40.786945
-1.525019,200,40.902855
19.007164,113,40.969045
0.679321,200,41.094654
-2.576642,200,41.618581
5.290349,200,41.747932
-0.146805,200,41.870766
-0.698617,200,42.000772
0.412872,200,42.175858
-0.66473,200,42.30304
-1.955716,200,42.858672
-2.185666,200,43.002709
-1.360157,200,43.138046
-0.959006,200,43.295485
-21.842419,200,43.444665
-22.910632,200,44.004757
-2.048554,200,44.128943
0.517727,200,44.250883
20.971544,118,44.325186
0.568229,200,44.465665
-10.62366,200,45.032114
-0.770609,200,45.179955
3.371844,200,45.349314
-6.263509,200,45.503206
-1.677984,200,45.652806
-0.845296,200,46.216891
-1.463665,200,46.337013
0.07865,200,46.455974
3.470406,200,46.57731
-3.02406,200,46.7069
-1.728668,200,47.241861
-1.360845,200,47.382597
-2.448882,200,47.513985
-2.256932,200,47.645021
-2.842538,200,47.775327
-2.575264,200,47.899982
-12.217621,71,48.35762
-1.772048,200,48.486563
-2.554174,200,48.614978
-1.993051,200,48.755904
-2.788482,200,48.894827
-1.697038,200,49.433261
-4.271423,200,49.571716
-0.340843,200,49.703335
-5.673373,151,49.79605
-0.870327,200,49.919987
-12.266443,70,49.961014
-1.03346,200,50.479517
-8.571774,168,50.576084
-10.956562,57,50.608966
-4.085248,200,50.737704
-0.148926,200,50.861948
-16.623822,200,50.9812
0.49319,200,51.499554
-9.583756,116,51.571537
-0.867697,200,51.696924
0.778299,200,51.846286
-1.173803,200,51.973337
-0.005476,200,52.095207
-0.705017,200,52.608763
-3.760238,200,52.744303
-1.152639,200,52.865127
-0.854116,200,52.996941
-2.602006,200,53.115925
-1.500506,200,53.658469
-3.283442,200,53.779917
-3.111916,200,53.895494
-11.710768,60,53.931679
-2.152491,200,54.052539
-11.792461,48,54.079741
-1.14044,200,54.192688
-2.374685,200,54.697716
-17.20105,1,54.698644
-0.969262,200,54.812072
-2.249421,200,54.931222
-2.843293,200,55.052214
1.907914,200,55.178514
-1.256742,200,55.722711
-12.074017,145,55.818842
-1.715517,200,55.962321
-10.003447,70,56.0086
-20.371056,79,56.058847
-0.2642,200,56.178773
14.868949,197,56.815491
-2.182128,200,56.9791
-11.984683,86,57.069232
-2.246799,200,57.234928
-0.804334,200,57.367142
-1.198448,200,57.505519
-1.420556,200,58.119687
20.972415,117,58.19825
0.171157,200,58.321172
-24.771306,65,58.360131
-0.107209,200,58.490839
18.986208,105,58.559983
-3.018048,200,58.703713
-1.139782,200,59.23411
19.541596,123,59.311699
-1.893972,200,59.435012
-0.47874,200,59.561492
-0.268671,200,59.701591
-3.252952,200,60.248865
-30.639752,200,60.378238
2.181512,200,60.518189
4.506462,200,60.657621
-2.749678,200,60.783112
-0.574604,200,61.337937
0.829656,200,61.465779
-0.287795,200,61.590568
-1.881196,200,61.71958
-2.731082,200,61.857838
-2.561388,200,61.983262
-0.942794,200,62.538249
-1.31639,200,62.674189
1.227012,200,62.812228
0.916511,200,62.93754
-8.459656,70,62.986702
-0.242657,200,63.514128
-4.618691,200,63.642101
-2.433653,96,63.710329
-0.624734,200,63.840548
-0.461161,200,63.954905
-1.716986,200,64.074719
-1.272896,200,64.614042
-27.68137,13,64.622155
-1.245346,200,64.740591
-0.857876,200,64.856896
-1.047665,200,64.974946
-1.189022,200,65.095188
0.146983,200,65.63197
-1.807411,200,65.754485
-9.025828,132,65.846758
-1.989517,200,65.969576
2.077955,200,66.091251
-25.710065,200,66.5969
0.987104,200,66.719231
16.811258,143,66.803238
0.780284,200,66.921478
-8.884572,88,66.973191
-11.912035,200,67.090317
2.09173,200,67.624147
20.36387,112,67.69603
-4.116813,200,67.839066
-2.258868,200,67.975455
18.482829,159,68.074814
-1.089698,200,68.203826
-0.407566,200,68.784225
-1.44936,200,68.912055
21.423321,145,69.011523
-19.086083,200,69.146472
0.133927,200,69.272002
20.578363,82,69.32462
-0.643871,200,69.845233
-3.550675,200,69.968571
1.501973,200,70.089435
