#{"t_start": 1787653109.7485971, "env_id": "None"}
r,l,t
-8.324771,152,2.032057
-3.021684,200,2.139382
-12.783322,131,2.213801
-13.814591,108,2.277075
-17.38837,42,2.306316
-15.275293,177,2.426477
-0.693354,200,2.541578
-12.984978,99,3.011732
-16.07584,88,3.061244
-4.037624,200,3.183389
-17.01488,100,3.252283
17.195259,87,3.301515
-1.467626,200,3.414417
-15.652246,1,3.415273
-12.526689,133,3.481463
-20.444313,108,3.536199
-19.015011,100,3.99722
-6.681588,200,4.094675
-17.413128,81,4.133575
-14.392026,115,4.186991
-17.262839,175,4.270442
18.098555,74,4.308395
1.008637,200,4.416053
3.092238,200,4.947666
-19.038265,127,5.017192
-2.477066,200,5.139034
-0.072481,200,5.264224
19.170239,121,5.340226
-2.518184,200,5.448417
-1.616991,200,5.963889
-15.886225,69,6.002416
-13.099312,175,6.091346
-1.60753,200,6.205415
2.181388,200,6.318672
-0.811744,200,6.447695
-3.425594,200,6.961453
-16.201433,151,7.034794
-17.104539,45,7.055991
-17.66447,192,7.145716
-16.739738,147,7.215372
1.880125,200,7.315048
-10.284023,179,7.793952
3.325554,200,7.895338
-12.913932,144,7.968376
-17.224465,32,7.984113
-16.131203,78,8.021669
-7.654102,118,8.079146
-6.125611,200,8.173362
-3.9195,200,8.269637
-18.636062,45,8.684565
-15.146043,50,8.708864
-21.398012,68,8.742666
-16.690638,50,8.767442
-10.939269,200,8.865612
0.076234,200,8.963575
-16.254553,59,8.992915
-9.601473,161,9.074079
2.694705,200,9.175606
-10.479385,190,9.654963
-17.928964,53,9.680923
-17.027949,66,9.712078
-17.768454,79,9.752039
-17.557859,31,9.766873
-17.998493,28,9.779879
1.63669,200,9.873836
-15.093176,61,9.904406
0.247738,200,9.99795
-2.520829,200,10.473493
-15.084951,47,10.498428
0.771513,200,10.59502
-8.46059,108,10.646403
-20.117707,99,10.693017
-0.125178,200,10.792389
14.90951,169,10.876118
1.933368,200,11.358668
-5.85157,103,11.407312
-17.036824,40,11.425792
-17.488862,198,11.523222
-11.490812,104,11.574683
-9.203482,128,11.635459
-10.621918,143,11.706228
-10.306415,99,11.751714
1.046763,200,12.234023
-12.9106,153,12.313315
-6.486223,200,12.410017
-10.050485,200,12.519644
-9.681518,170,12.601305
-15.246615,32,12.61674
-0.04773,200,12.709574
-2.629743,200,13.210043
2.855916,200,13.309744
17.983141,148,13.389184
9.055828,196,13.512427
-15.719156,40,13.550532
-8.718414,98,13.611616
17.206584,63,13.647018
-4.187285,200,14.236162
-9.065972,132,14.323898
-6.511316,191,14.431222
-4.98027,200,14.546791
-9.381405,94,14.607608
0.631375,200,14.727306
-9.118108,92,15.259803
18.119035,187,15.360623
-15.672116,44,15.384857
-1.569496,200,15.530463
-1.813249,200,15.663232
-0.822431,200,15.773734
-1.62894,200,16.308381
5.117932,200,16.406624
1.260951,200,16.513904
19.105002,140,16.587355
-8.561071,77,16.626899
0.837215,200,16.739338
0.859437,200,17.237734
-11.961276,91,17.282312
3.165561,200,17.391106
-0.162338,200,17.493678
-7.919374,87,17.54269
18.304441,154,17.633321
16.472086,169,17.716605
-16.182069,105,17.768213
21.125802,126,18.28909
-0.739874,200,18.39161
16.795688,143,18.465078
15.611286,185,18.558139
0.181991,200,18.685428
18.400828,126,18.767159
1.465268,200,19.344054
-6.992645,200,19.461371
-6.161562,90,19.516935
1.86153,200,19.634166
18.361933,140,19.728666
17.707071,88,19.774276
2.352561,200,20.270274
17.082757,70,20.316167
17.416548,101,20.370391
17.727701,105,20.427072
-0.193767,200,20.534199
17.913475,128,20.603469
20.580374,186,20.704946
-0.741038,200,20.821559
18.855654,119,21.350506
-16.550319,188,21.446542
-17.821619,34,21.463672
4.344385,200,21.585563
-17.009764,180,21.722221
18.441154,142,21.804015
1.335171,200,22.329957
0.854533,200,22.459555
2.609725,200,22.599283
0.297923,200,22.704561
16.638634,107,22.757642
13.613698,118,22.818689
3.451779,200,23.422082
2.557212,200,23.590865
1.948997,200,23.779317
4.512076,200,23.948522
1.889204,200,24.074547
-18.176825,40,24.104185
-18.090175,45,24.135711
-18.135435,19,24.148291
-0.113064,200,24.718513
18.55008,107,24.787462
-19.453416,177,24.898424
17.411804,96,24.959934
20.863422,157,25.063885
20.404892,163,25.171705
18.418065,172,25.289858
18.967554,131,25.79643
17.89629,178,25.904175
21.167048,106,25.965107
2.41997,200,26.066483
2.656269,200,26.170259
19.99515,150,26.255265
0.96565,200,26.808024
20.484663,134,26.87643
18.84834,123,26.943112
21.843808,114,27.011414
11.852553,152,27.09337
15.841156,74,27.131172
2.355711,200,27.263506
2.010183,200,27.960633
-6.375459,123,28.087909
18.819073,106,28.17535
18.900028,89,28.245594
22.02279,108,28.360566
19.043057,80,28.408457
17.013401,193,28.53303
19.496131,200,28.667907
2.392,200,29.318296
17.12084,76,29.360907
-14.439182,200,29.464432
21.580454,123,29.533008
20.54502,181,29.640335
18.442358,99,29.695555
1.466456,200,30.239221
19.97127,85,30.286547
19.777532,117,30.354516
0.771248,200,30.461193
16.365115,171,30.559239
18.184651,98,30.615505
18.35819,81,30.658442
17.434635,54,30.68758
12.195367,88,30.735639
17.742111,76,30.783637
0.619988,200,31.326606
18.339499,76,31.366233
19.99493,74,31.405389
17.375347,118,31.462875
-17.029174,51,31.48762
21.019385,110,31.541183
2.022922,200,31.637364
19.032845,84,31.679
-19.987195,19,31.689419
19.390774,104,31.743858
4.139614,200,32.25344
16.519139,123,32.315106
20.402446,111,32.367609
-16.23981,21,32.37824
1.412735,200,32.47201
20.788772,89,32.513841
-2.999182,200,32.609308
18.116665,82,32.648582
18.553201,106,33.090582
7.863401,90,33.132908
1.600102,200,33.232374
20.023984,91,33.27652
0.696375,200,33.3753
18.045739,102,33.424438
19.909217,124,33.484124
-8.584151,50,33.507438
2.51197,200,33.999654
21.096698,89,34.043009
21.235893,107,34.094373
17.938093,61,34.127692
-17.882276,27,34.141127
2.274318,200,34.245312
17.408358,80,34.283662
18.153153,89,34.327858
20.453569,87,34.372513
18.635158,87,34.414509
18.340145,101,34.881166
17.849311,83,34.924599
-10.289448,28,34.942543
18.822019,79,34.986417
18.270433,98,35.038874
2.981674,200,35.135866
3.560652,200,35.246181
18.085331,85,35.291739
2.89862,200,35.405013
17.579796,75,35.841103
16.135932,114,35.898844
17.448446,85,35.939916
20.371898,92,35.987011
17.097036,88,36.030615
20.710034,80,36.072815
-17.724902,20,36.086172
17.450211,67,36.127878
19.510818,77,36.186009
18.292148,86,36.24667
17.498201,119,36.331682
-16.759824,15,36.34263
17.337269,62,36.394009
18.487397,66,36.443416
3.1365,200,36.97145
17.148968,52,37.001217
17.369092,144,37.071022
21.223879,131,37.133974
19.496165,127,37.196117
-15.968878,33,37.213276
-16.713668,53,37.239575
19.230111,96,37.284385
18.273706,95,37.328361
14.532362,70,37.361284
2.648927,200,37.836063
19.073843,99,37.882612
-16.239264,39,37.901268
18.520149,137,37.966394
-14.600983,200,38.063518
17.398059,102,38.115275
19.920266,91,38.158605
18.538867,82,38.197308
-18.605941,33,38.21367
17.510043,120,38.652915
17.790718,57,38.681163
20.136722,94,38.728415
19.963328,110,38.781536
21.417676,83,38.822053
11.971789,122,38.882598
17.272769,101,38.931111
19.016507,79,38.968955
17.7531,99,39.018824
19.762299,86,39.060011
17.672928,75,39.097186
17.687038,69,39.130439
18.492584,85,39.587236
20.849016,145,39.658692
17.650255,90,39.701555
19.651119,87,39.742721
-15.670171,1,39.743409
-9.121787,26,39.755607
-16.062467,27,39.768998
17.786994,82,39.807251
20.409537,109,39.858504
-16.307325,1,39.859105
20.831981,122,39.917248
14.492571,137,39.989587
18.941916,122,40.44922
18.470158,88,40.491903
3.425476,200,40.588133
19.868468,79,40.625482
18.085527,85,40.666055
-16.75503,43,40.686345
19.156607,93,40.729942
18.055625,116,40.784976
17.452533,55,40.813873
17.561407,126,40.876275
20.044757,81,40.918996
20.489302,100,41.359624
19.341615,101,41.408967
17.932377,86,41.450191
17.579817,52,41.475353
20.084875,90,41.520441
20.844978,96,41.567252
-18.121697,86,41.608804
19.633274,156,41.686554
-18.415321,11,41.692423
21.032761,97,41.741117
17.83792,69,41.774487
19.379434,59,41.803578
17.784078,117,42.253665
17.940278,90,42.295703
18.833011,176,42.378324
17.399523,102,42.426407
17.426893,89,42.468536
-8.755157,37,42.486233
17.100667,104,42.535338
20.896229,97,42.58094
19.879123,86,42.622313
-8.549505,55,42.648373
-17.090488,36,42.665467
3.310919,200,43.160876
17.802706,86,43.208414
3.195201,200,43.337525
18.220661,66,43.389362
18.449182,62,43.434831
-7.911263,80,43.492007
18.262165,72,43.546594
18.029516,94,43.62484
18.584691,86,43.680571
21.159462,100,43.744533
18.732172,79,43.797586
18.769863,72,44.302839
17.309515,88,44.35581
17.196087,80,44.399116
18.247991,66,44.431092
18.235948,103,44.483954
-16.688806,41,44.503549
17.86531,86,44.546115
21.922153,92,44.595275
18.989458,67,44.628775
19.440298,82,44.672425
17.018334,81,44.715069
19.309635,98,44.765515
20.868185,104,45.226415
-16.475007,47,45.256332
4.637631,200,45.370391
16.928962,80,45.410482
-9.457429,28,45.424177
17.237249,94,45.470856
19.954809,83,45.512409
18.072102,73,45.550781
17.623061,81,45.603683
20.228085,99,45.688439
20.322913,86,45.74997
-8.34874,51,45.775602
17.324547,71,45.810545
20.173213,97,46.274585
21.493672,87,46.322227
18.905954,69,46.36536
19.549367,76,46.405699
17.170825,49,46.436505
18.772056,83,46.479257
19.737568,94,46.529343
-15.932301,37,46.547891
21.658182,96,46.597675
19.297317,76,46.635903
19.136982,95,46.682259
19.057588,75,46.719716
18.929716,81,46.769626
13.099292,60,47.254696
17.015204,82,47.29497
-17.212831,34,47.311965
17.992546,82,47.35393
-17.978487,7,47.357888
20.414669,71,47.392985
