#{"t_start": 1787653109.7487957, "env_id": "None"}
r,l,t
-14.650062,161,2.038026
-1.691537,200,2.144201
-9.405053,82,2.188138
-12.697347,68,2.229364
-14.245217,198,2.363254
-23.427899,90,2.419528
-12.325524,48,2.447293
-13.218638,163,2.541541
-2.278187,200,3.068429
-1.158474,200,3.193586
1.278507,200,3.317111
-4.66813,200,3.428016
-9.06198,192,3.52331
-0.107627,200,4.033243
-17.249217,61,4.063487
-17.591222,199,4.158827
-14.573466,46,4.180155
-15.393266,78,4.216097
0.813273,200,4.315578
1.911963,200,4.4232
-1.561511,200,4.955537
-16.059286,74,4.996663
0.483066,200,5.112896
13.579449,189,5.236074
18.454842,157,5.331427
1.290405,200,5.441359
-16.003097,123,5.917416
-15.245389,67,5.951542
-16.614864,60,5.986493
-20.769332,130,6.052075
-4.558612,200,6.160684
17.441554,189,6.269483
0.976793,200,6.387268
18.832992,107,6.457157
0.13812,200,6.970494
-12.996491,200,7.066961
-16.592698,52,7.091365
-18.025234,86,7.131364
-3.368548,200,7.225617
-15.4221,48,7.248072
2.203852,200,7.347699
-14.164451,120,7.799521
-16.855513,52,7.824753
-16.111729,145,7.899999
-2.465477,200,7.999111
0.885455,200,8.096001
-0.529267,200,8.189997
-9.667569,200,8.679683
-18.049946,88,8.72334
-11.907558,74,8.759752
-14.524802,65,8.79211
0.95447,200,8.891762
-0.732681,200,8.987923
-15.88546,46,9.010422
-24.338691,63,9.04457
-16.377248,72,9.08034
-15.611959,35,9.097295
-15.655589,90,9.143915
-7.3349,144,9.601093
-9.110131,112,9.655916
0.672814,200,9.753959
-18.196134,76,9.790058
-5.407406,148,9.859241
-0.247398,200,9.954441
3.996235,200,10.047097
0.337897,200,10.527261
-0.402609,200,10.623438
-1.457177,200,10.717646
-16.073251,30,10.731877
-21.067536,18,10.740446
-12.866888,138,10.814525
2.693176,200,10.912639
0.366428,200,11.391708
-11.520956,156,11.465531
5.557386,200,11.565102
-11.953055,135,11.629757
-11.657273,53,11.655149
-1.33209,200,11.7517
-5.869798,197,12.231938
-1.996962,200,12.334369
-11.392736,177,12.421607
-16.181248,92,12.475936
-15.305711,30,12.490512
-11.038573,70,12.526215
1.142102,200,12.62194
-1.410969,200,13.113835
-14.642649,48,13.140679
-12.241315,177,13.227099
-14.975711,40,13.246143
-6.778836,157,13.326729
-1.995589,200,13.442659
-12.148596,118,13.519297
-16.02161,28,13.545793
1.40596,200,13.66528
-10.498895,45,13.701388
-1.742363,200,14.290278
-14.00645,60,14.329237
-7.630148,72,14.3707
17.400257,137,14.443782
-15.190037,63,14.480222
0.444822,200,14.603487
-13.473252,168,14.697772
-10.088855,144,15.267767
0.781311,200,15.374668
-9.78068,60,15.416735
17.455884,158,15.531677
2.548466,200,15.663994
-12.234263,175,15.761449
1.782924,200,15.867035
-6.529325,85,16.338325
19.867541,150,16.412289
2.087933,200,16.519704
-11.341196,58,16.549298
22.084632,187,16.647813
-20.449334,142,16.729383
2.680357,200,16.831025
19.444643,151,17.305848
16.724946,157,17.389725
1.930227,200,17.492145
0.577696,200,17.607473
0.274356,200,17.709989
0.400131,200,18.26715
-0.503925,200,18.369465
-0.837485,200,18.472574
-1.604128,200,18.573656
-8.379707,73,18.614684
19.147651,140,18.722457
17.610338,151,19.27054
-1.006726,200,19.379375
0.199943,200,19.504097
2.015845,200,19.618398
-15.201232,35,19.640722
0.111897,200,19.765973
17.916405,114,19.82279
1.427567,200,20.330262
19.740569,94,20.382321
-0.273344,200,20.487854
-0.329945,200,20.597
2.069487,200,20.706061
-0.430759,200,21.273651
-15.306283,34,21.30065
-17.497437,17,21.311584
0.938909,200,21.418836
0.916726,200,21.524339
17.606777,200,21.67091
0.377966,200,21.798349
12.802935,123,21.867237
18.391836,112,22.343332
-14.928657,46,22.374521
19.105385,130,22.460185
3.29692,200,22.60072
1.902348,200,22.705349
-6.187866,86,22.747317
0.40728,200,22.851471
2.208294,200,23.474097
-8.301997,115,23.569322
19.713302,115,23.685298
5.832042,200,23.854976
20.152467,103,23.945704
-17.642784,22,23.958774
1.391512,200,24.086897
-15.755329,47,24.120001
0.541171,200,24.695835
4.918302,200,24.820028
20.996686,130,24.901949
0.947407,200,25.02717
-6.494136,66,25.079409
18.014242,126,25.160995
18.248389,88,25.219689
20.762208,127,25.308196
3.403681,200,25.849426
2.416749,200,25.969906
20.274617,118,26.031374
-6.696305,159,26.11138
0.485232,200,26.22005
0.254074,200,26.774354
17.876421,105,26.829179
-0.218954,200,26.932325
18.135125,100,26.992736
0.373207,200,27.102865
16.792601,115,27.164207
16.586088,119,27.245168
18.166572,113,27.337044
19.385974,83,27.930883
19.990505,131,28.074952
4.070884,200,28.236683
16.891219,82,28.317857
-14.988228,31,28.351424
-16.25487,48,28.384039
19.35792,134,28.466528
18.938761,105,28.538055
-16.274387,45,28.569752
2.261263,200,29.209716
21.015135,104,29.290786
-18.152401,33,29.309035
1.899696,200,29.416906
0.50207,200,29.524364
-16.20957,36,29.54709
2.971568,200,29.665928
19.436297,146,29.749826
4.0372,200,30.291253
-15.961223,200,30.403537
-18.942956,88,30.448158
1.782817,200,30.563769
-8.109897,200,30.673364
18.834867,107,30.731661
18.973133,110,30.79896
-16.274772,16,30.809355
-18.989296,40,31.262658
1.557626,200,31.369673
19.529009,95,31.418937
4.020413,200,31.515742
18.088716,60,31.545293
3.859684,200,31.6417
20.874056,100,31.692902
18.767029,97,31.74303
2.349676,200,32.251917
3.344623,200,32.351125
0.879302,200,32.445236
2.439499,200,32.539686
20.538813,88,32.581305
15.643343,72,32.616312
18.937507,101,33.056818
20.637735,92,33.099681
18.224788,158,33.177237
18.556636,84,33.218249
-17.767704,21,33.228642
19.619202,102,33.278603
19.531624,94,33.325267
19.113186,80,33.363157
-10.366602,175,33.448925
-20.725144,200,33.543422
5.261034,200,34.036806
20.740973,113,34.091144
2.248541,200,34.199341
-15.915137,30,34.214003
19.278007,84,34.255077
-2.625448,200,34.352342
19.921891,123,34.414428
-7.474395,61,34.448094
19.384678,141,34.93514
18.366737,141,35.014157
1.876293,200,35.112314
20.762676,93,35.159254
17.55186,106,35.221514
19.726276,78,35.262731
19.545924,105,35.318533
17.986047,74,35.361096
-16.039378,30,35.377446
-18.00427,36,35.399709
-16.161987,32,35.417518
0.976297,200,35.915282
16.950502,88,35.95739
18.772152,93,36.004746
-16.294112,24,36.016661
19.731335,106,36.072745
18.957765,75,36.119196
18.300424,133,36.218782
20.972486,92,36.281219
16.934734,76,36.335939
-16.289829,44,36.370141
-34.035183,200,36.912528
14.958325,82,36.963995
19.245756,74,37.007631
19.65961,98,37.054538
17.557973,103,37.103837
2.072075,200,37.201692
1.030517,200,37.297672
19.535436,104,37.345958
18.291459,58,37.373491
20.465624,72,37.787753
17.630917,94,37.831985
3.112256,200,37.926691
-8.069397,51,37.951104
20.789069,149,38.023659
14.694204,81,38.062204
18.10388,93,38.108954
19.890689,89,38.152136
19.933877,97,38.198201
19.550674,83,38.238155
18.75802,141,38.689979
20.598874,100,38.73902
17.015892,68,38.771356
17.753421,126,38.833321
18.039459,95,38.880308
-18.020228,16,38.888345
18.579581,152,38.960953
19.487973,80,39.002096
18.665019,56,39.0291
18.035047,79,39.067597
21.466219,87,39.109411
21.585593,99,39.567412
19.059829,77,39.610692
19.31604,82,39.650975
17.114336,86,39.692068
-9.255252,38,39.710574
17.325405,92,39.753965
-17.181129,67,39.786234
18.237226,86,39.826652
20.956773,104,39.875404
17.519027,78,39.912571
18.566977,97,39.959685
20.525666,91,40.012136
-6.215735,78,40.049881
17.646816,90,40.491823
16.6111,54,40.517645
18.224731,136,40.583108
18.262206,97,40.629409
18.125965,91,40.672783
20.53137,162,40.74843
14.741658,103,40.798606
19.40911,89,40.844084
18.053252,109,40.898646
20.983162,101,41.341883
-16.74953,12,41.347758
20.085452,102,41.397284
18.326472,68,41.430216
17.950413,90,41.473662
19.402707,92,41.519597
19.821758,99,41.568158
19.900886,99,41.615982
19.564596,109,41.670646
-17.02594,22,41.68128
16.987802,103,41.733143
17.54524,92,41.778339
-20.039944,44,41.799711
18.232596,83,41.840692
17.195196,193,42.324581
18.041877,64,42.35452
20.050878,102,42.402906
10.650697,77,42.439126
19.477383,108,42.490539
19.675948,96,42.535777
20.293473,123,42.593904
21.713669,111,42.646637
17.247911,77,42.682989
18.445572,101,43.12569
17.60213,62,43.161659
17.73487,132,43.237682
-17.103979,34,43.260054
18.416897,72,43.304745
19.223972,76,43.360167
19.498317,90,43.426535
19.836871,88,43.491136
19.327329,86,43.558313
17.14748,95,43.635156
17.463836,78,43.684391
19.990869,87,43.740193
20.954215,97,43.804368
15.213537,96,44.325905
21.746258,126,44.394788
17.56291,81,44.434935
21.643658,97,44.484972
18.536453,75,44.521532
-7.132173,50,44.546029
18.576996,73,44.585429
20.291294,90,44.630924
17.809809,65,44.664318
18.546866,103,44.719767
20.322431,150,44.795998
-7.85627,48,45.229413
13.48992,83,45.283121
18.573732,101,45.342017
17.70688,61,45.372123
17.945772,56,45.398473
10.86108,82,45.439843
-7.623437,66,45.473395
15.72329,63,45.504997
15.471282,79,45.545341
16.929336,51,45.576454
17.639872,108,45.662125
12.434745,77,45.72897
18.050124,52,45.756298
19.348932,83,45.797454
19.206798,95,46.260525
19.738974,78,46.300336
17.205155,65,46.335794
17.518361,64,46.378516
18.236506,69,46.413615
18.275616,108,46.474654
19.405517,83,46.51941
19.007784,73,46.556811
19.170144,84,46.600658
17.64824,63,46.631751
-16.217383,31,46.646803
19.701058,77,46.684526
10.554832,82,46.726408
18.513819,79,46.778469
17.611965,71,47.264953
19.823018,88,47.308283
2.561893,200,47.410246
20.181011,90,47.458515
18.684563,96,47.510398
21.314727,95,47.569458
