#{"t_start": 1787654605.559379, "env_id": "None"}
r,l,t
-3.201412,200,43.103321
-1.042063,200,43.25544
-0.890582,200,43.409034
-0.321203,200,43.973477
-2.543844,200,44.101128
-1.876084,200,44.223048
-2.452963,200,44.347163
-2.347815,200,44.492603
-0.418617,200,45.060741
3.379187,200,45.204254
-1.678025,200,45.378233
-1.987946,200,45.525434
-5.107235,200,45.680964
-3.746834,200,46.239671
-11.737861,45,46.266654
-0.866984,200,46.385202
-1.070193,200,46.503239
-0.466636,200,46.632921
-2.440948,200,46.754437
-0.861912,200,47.294676
-15.752362,200,47.434413
-1.059651,200,47.566933
-3.003761,200,47.695307
1.792294,200,47.823617
0.178643,200,48.366333
-16.593585,200,48.492807
-3.71721,200,48.62191
-2.305359,200,48.76259
-22.895357,41,48.790999
-1.29742,200,48.924065
-0.617135,200,49.472195
-0.52838,200,49.601559
-0.457199,200,49.734407
1.503149,200,49.85733
0.073254,200,49.978879
-21.171446,53,50.010952
-10.146167,138,50.492194
-2.7015,200,50.605888
-1.344511,200,50.734339
-1.273831,200,50.85856
0.733588,200,50.978047
-0.037186,200,51.496341
-18.073211,200,51.618856
18.891083,129,51.703352
0.195317,200,51.8515
2.271279,200,51.978227
-0.344791,200,52.100192
-3.219381,200,52.613986
0.614488,200,52.749811
-23.998048,59,52.784113
-7.270962,200,52.909461
0.430446,200,53.035599
-11.918384,57,53.071415
-2.011602,200,53.603606
1.387962,200,53.735578
20.746991,144,53.819873
-5.667346,200,53.936879
-2.979072,200,54.057873
-2.124779,200,54.170182
0.334681,200,54.675307
-1.211703,200,54.788809
1.245355,200,54.906604
-1.977415,200,55.027508
1.252791,200,55.149388
-16.117661,200,55.695081
-1.541139,200,55.832263
-0.482454,200,55.971164
0.406052,200,56.098926
-0.62433,200,56.222135
-2.36796,200,56.875438
15.406166,200,57.051866
0.729024,200,57.219921
1.333854,200,57.355597
-13.080808,161,57.462996
-2.552068,200,58.080687
-0.500283,200,58.214013
1.272773,200,58.336856
-9.822751,200,58.464676
-15.759138,200,58.600908
-1.868371,200,59.145775
-2.267459,200,59.270603
-11.330802,40,59.295189
0.907181,200,59.417854
-1.330535,200,59.542523
-7.395017,200,59.68381
-13.10065,200,60.232275
-2.635031,200,60.361024
-1.564143,200,60.498561
-13.387826,200,60.639187
0.982753,200,60.766137
-0.595283,200,60.895951
-3.257411,200,61.448868
-0.723648,200,61.574113
-2.38239,200,61.700668
-0.750275,200,61.840683
-5.036345,200,61.965922
1.83995,200,62.519023
-0.918471,200,62.655516
19.847374,195,62.791683
-1.924147,200,62.916986
-1.178409,200,63.047291
-2.30909,200,63.577872
21.445612,155,63.681309
-0.726765,200,63.814823
-0.416299,200,63.929733
0.806114,200,64.0492
-9.638184,91,64.104129
18.443408,170,64.625323
-2.38503,200,64.744241
2.036355,200,64.860341
19.130756,142,64.942466
-1.115757,200,65.06336
-8.934944,96,65.121292
-0.348912,200,65.656359
-8.14851,149,65.749452
-1.457913,200,65.887298
1.813665,200,66.0074
-1.764497,200,66.126634
-1.309917,200,66.634637
-9.307235,73,66.678875
-6.478391,144,66.765077
-7.583948,133,66.843459
-9.298477,159,66.937232
-2.389493,200,67.05361
-3.117812,200,67.172232
-13.355687,44,67.612649
1.848748,200,67.742827
0.45894,200,67.887818
-1.671466,200,68.021464
-10.11836,128,68.099491
0.610526,200,68.230176
2.006268,200,68.807928
-10.458769,88,68.863624
-1.808152,200,68.999241
19.740927,191,69.129473
-1.913667,200,69.255587
-2.011453,200,69.380244
19.081852,121,69.853072
-7.492988,133,69.933135
-9.046088,200,70.055868
2.891759,200,70.177205
-1.898606,200,70.313178
5.444783,200,70.451968
2.594613,200,70.988614
-2.378795,200,71.112987
-1.623788,200,71.227581
-0.538602,200,71.34583
-16.563007,1,71.346761
0.395121,200,71.467462
1.272793,200,71.989831
-4.219435,174,72.100288
-0.851245,200,72.235378
19.091826,154,72.342108
-2.388338,200,72.467194
2.469604,200,72.982427
-7.246807,88,73.033773
-1.550596,200,73.154824
-10.578537,60,73.18911
1.441525,200,73.30868
-8.63306,200,73.429907
-14.845357,200,73.55142
2.346405,200,74.14587
0.346922,200,74.267067
1.339382,200,74.411855
-1.286636,200,74.533862
-0.448242,200,74.650164
0.07562,200,75.156292
-11.657359,200,75.273776
-26.384251,200,75.390985
-1.606505,200,75.508199
-2.032658,200,75.622586
-1.21794,200,76.1243
-0.40033,200,76.252394
-1.175545,200,76.373238
19.000394,109,76.438821
-8.416325,125,76.513399
-3.715258,200,76.651383
-0.388683,200,77.176535
-20.37313,152,77.268822
-0.769564,200,77.388238
-1.038667,200,77.503474
2.041371,200,77.62809
18.435193,109,77.706017
-9.501161,88,78.173995
-0.873789,200,78.317091
-5.185549,200,78.451109
19.958473,89,78.507836
-10.330911,69,78.549823
-0.474209,200,78.681212
16.577492,191,79.225664
0.818504,200,79.353191
-1.473807,200,79.487914
-2.356351,200,79.620075
-0.361793,200,79.748533
0.07766,200,79.874265
-1.222275,200,80.384962
19.97851,101,80.445939
1.801208,200,80.561601
0.708949,200,80.67495
12.277744,105,80.738646
-30.563152,200,80.854872
1.63578,200,81.374839
-18.075305,200,81.501155
-9.219326,42,81.52597
-4.7e-05,200,81.648899
1.983519,200,81.778207
-11.565813,36,81.802943
1.216548,200,82.327834
0.205932,200,82.444232
1.074163,200,82.577626
1.734344,200,82.697638
-10.248766,70,82.739687
11.741322,181,82.850408
-2.979418,200,83.355403
-7.390024,200,83.469661
-2.66067,200,83.59344
-0.329543,200,83.723865
-1.242992,200,83.855184
18.368248,144,83.956113
0.586892,200,84.48136
-14.520399,200,84.605823
0.351516,200,84.741911
1.493841,200,84.878276
-21.103902,139,84.963303
-0.023388,200,85.482339
0.223758,200,85.603545
-2.29988,200,85.733454
20.651162,125,85.816848
-3.594246,200,85.937058
2.559877,200,86.068143
-17.028157,200,86.673778
-0.344077,200,86.809428
-2.486436,200,86.948814
-0.678283,200,87.083719
2.437604,200,87.210734
0.296899,200,87.789037
1.013844,200,87.907212
-8.466254,88,87.959675
3.174644,200,88.078328
-3.237837,200,88.204143
-0.263329,200,88.72479
-5.323567,200,88.841649
12.303195,94,88.900053
-11.87858,200,89.013444
0.441188,200,89.127775
19.304457,88,89.180076
-9.302628,200,89.294738
-1.640262,200,89.819115
0.841627,200,89.94231
-0.666827,200,90.066142
-20.661051,186,90.179396
2.174155,200,90.298319
-0.959805,200,90.850762
-10.244577,49,90.880595
0.829375,200,90.999141
0.510947,200,91.15577
-5.055279,200,91.304009
-2.38177,200,91.443181
-3.287938,200,91.973623
0.699376,200,92.091687
18.929436,124,92.162228
3.064258,200,92.276222
0.804648,200,92.391171
1.809087,200,92.973278
-7.665189,83,93.048037
0.822231,200,93.229812
21.490935,113,93.304477
-15.701652,30,93.328236
1.846132,200,93.462215
1.2592,200,93.585895
-11.704483,53,93.619013
0.693959,200,94.153685
-4.129146,200,94.272918
-2.218221,200,94.395216
-2.580228,200,94.515917
-0.172516,200,94.636302
2.142496,200,95.15478
-8.381582,63,95.192998
18.25074,192,95.307031
-0.307088,200,95.42724
19.880534,169,95.538146
19.770891,151,95.629358
-0.237552,200,96.148982
18.075441,136,96.23202
0.107505,200,96.356208
14.176379,82,96.406215
-1.868464,200,96.523049
-3.934932,200,96.662472
-3.772655,200,97.230083
-1.469539,200,97.35334
17.827488,124,97.435149
-6.099396,200,97.570033
19.07958,77,97.615922
0.782961,200,97.736876
-1.109085,200,98.232756
2.21447,200,98.346677
14.927435,191,98.458833
-1.236892,200,98.569885
-11.058111,60,98.603641
-0.054529,200,98.717145
-17.22143,1,98.718104
1.949629,200,99.218095
-1.698519,200,99.334123
4.483767,200,99.450195
-38.417478,14,99.458562
-0.587999,200,99.571145
-1.1773,200,99.687406
3.389897,200,100.221627
0.453431,200,100.345792
-11.058999,62,100.384355
-40.516657,200,100.509656
1.178306,200,100.646172
-7.892572,162,100.746564
-18.862069,102,100.811112
4.114023,200,101.318348
17.502364,156,101.408485
4.337276,200,101.540756
0.228204,200,101.654207
-1.842509,200,101.770982
-3.237838,200,102.27532
-1.017856,200,102.391316
1.268785,200,102.508243
-1.245899,200,102.627608
18.797504,66,102.669622
-8.073106,200,102.794329
17.697063,80,102.843816
-0.7022,200,103.361179
20.019777,117,103.432597
-1.439804,200,103.549191
0.518209,200,103.669482
-15.144395,200,103.792729
-9.616033,93,103.847727
-1.175149,200,104.400246
-13.374267,200,104.566326
-22.009902,184,104.733535
2.115383,200,104.875073
2.041805,200,105.010396
-0.217911,200,105.564128
1.466828,200,105.681643
0.780637,200,105.797561
1.172762,200,105.91152
-1.341328,200,106.028789
2.22486,200,106.527544
-21.792023,97,106.583798
-0.694039,200,106.708679
-9.416614,80,106.757336
1.248555,200,106.873202
-7.401707,53,106.903652
1.030868,200,107.01899
-5.463344,200,107.544688
1.84861,200,107.670386
-4.742751,200,107.819509
-3.726778,200,107.958523
-1.03861,200,108.094509
20.017428,113,108.638258
0.448371,200,108.795881
18.471752,77,108.871916
18.713333,110,108.955447
0.117304,200,109.13062
-15.81626,200,109.292493
1.395672,200,109.433159
18.438101,124,109.998591
-3.725895,200,110.151232
-42.300545,200,110.302805
0.34443,200,110.442626
1.110054,200,110.594744
-0.85877,200,111.130543
17.425032,157,111.232248
-1.786852,200,111.371683
5.595152,200,111.507537
